trip_name,year,global_satisfaction,global_sat_change,budget_tier
Countryside Escape in Tuscany,2021,4.8,-2.9000000000000004,B
Forest Exploration in the Black Forest,2022,6.7,-2.6000000000000005,B
Beach Vacation in the Balearic Islands,2023,6.9,-2.5,C
Northern Lights in Finland,2023,4.6,-2.3000000000000007,D
Art and Architecture in Barcelona,2022,5.8,-2.1000000000000005,A
Spa Retreat in the Austrian Alps,2022,7.2,-1.9999999999999991,C
Countryside Escape in Tuscany,2022,2.9,-1.9,B
Mediterranean Cruise from Spain to Italy,2021,5.7,-1.7999999999999998,C
Wildlife Watching in the Delta del Ebro,2022,7.0,-1.5999999999999996,A
Kayaking in Costa Brava,2022,7.1,-1.4000000000000004,A
